patch,file,line
admin-plugins.patch,public/admin/plugins.php,150
admin-tool-brickfield-classes-accessibility.patch,public/admin/tool/brickfield/classes/accessibility.php,91
admin-tool-componentlibrary-docspage.patch,public/admin/tool/componentlibrary/docspage.php,57
admin-tool-generator-classes-site_backend.patch,public/admin/tool/generator/classes/site_backend.php,107
cache-classes-definition.patch,public/cache/classes/definition.php,461
cache-classes-definition.patch,public/cache/classes/definition.php,484
enrol-flatfile-lib.patch,public/enrol/flatfile/lib.php,197
filter-algebra-algebradebug.patch,public/filter/algebra/algebradebug.php,98
filter-algebra-algebradebug.patch,public/filter/algebra/algebradebug.php,111
filter-algebra-algebradebug.patch,public/filter/algebra/algebradebug.php,113
filter-algebra-algebradebug.patch,public/filter/algebra/algebradebug.php,126
filter-algebra-classes-text_filter.patch,public/filter/algebra/classes/text_filter.php,110
filter-algebra-classes-text_filter.patch,public/filter/algebra/classes/text_filter.php,112
grade-lib.patch,public/grade/lib.php,1346
lib-classes-output-requirements-page_requirements_manager.patch,public/lib/classes/output/requirements/page_requirements_manager.php,613
lib-classes-output-requirements-page_requirements_manager.patch,public/lib/classes/output/requirements/page_requirements_manager.php,614
lib-classes-output-requirements-page_requirements_manager.patch,public/lib/classes/output/requirements/page_requirements_manager.php,891
lib-classes-output-requirements-page_requirements_manager.patch,public/lib/classes/output/requirements/page_requirements_manager.php,892
lib-classes-output-user_picture.patch,public/lib/classes/output/user_picture.php,361
lib-classes-output-user_picture.patch,public/lib/classes/output/user_picture.php,362
lib-classes-plugininfo-base.patch,public/lib/classes/plugininfo/base.php,674
lib-classes-router-route_loader.patch,public/lib/classes/router/route_loader.php,163
lib-classes-shutdown_manager.patch,public/lib/classes/shutdown_manager.php,283
lib-deprecatedlib.patch,public/lib/deprecatedlib.php,61
lib-javascript.patch,public/lib/javascript.php,68
lib-jssourcemap.patch,public/lib/jssourcemap.php,58
lib-moodlelib.patch,public/lib/moodlelib.php,5895
lib-portfoliolib.patch,public/lib/portfoliolib.php,1286
lib-requirejs.patch,public/lib/requirejs.php,166
lib-setuplib.patch,public/lib/setuplib.php,239
lib-weblib.patch,public/lib/weblib.php,2238
lib-xmldb-xmldb_structure.patch,public/lib/xmldb/xmldb_structure.php,246
mnet-xmlrpc-serverlib.patch,public/mnet/xmlrpc/serverlib.php,614
mod-forum-classes-subscriber_selector_base.patch,public/mod/forum/classes/subscriber_selector_base.php,80
mod-h5pactivity-tests-generator-lib.patch,public/mod/h5pactivity/tests/generator/lib.php,58
mod-scorm-tests-generator-lib.patch,public/mod/scorm/tests/generator/lib.php,82
theme-yui_combo.patch,public/theme/yui_combo.php,309
