file,line,path,parent,code,status,patch,notes
admin/cli/svgtool.php,32,@,,$CFG->dirroot,no-change,,"Default value of --path option (dirroot as a value, the scan root); nothing useful to rewrite"
admin/cli/svgtool.php,84,@/,strpos,$CFG->dirroot.DIRECTORY_SEPARATOR,no-change,,Strips dirroot to build relative $relfile for log output only
admin/cli/svgtool.php,85,@,strlen,$CFG->dirroot,no-change,,Strips dirroot to build relative $relfile for log output only
admin/cli/svgtool.php,121,@/,strpos,$CFG->dirroot.DIRECTORY_SEPARATOR,no-change,,Strips dirroot to build relative $relfile for log output only
admin/cli/svgtool.php,122,@,strlen,$CFG->dirroot,no-change,,Strips dirroot to build relative $relfile for log output only
lib/setup.php,25,@,str_ends_with,$CFG->dirroot,false-positive,,"Defines/sets dirroot itself, not wrangling; dirroot is not going away (2026-06-12)"
public/admin/plugins.php,150,@,strpos,$CFG->dirroot,patched,admin-plugins.patch,Security gate before remove_plugin_folder(); strpos(dirroot) prefix check replaced with is_inside_codebase()
public/admin/plugins.php,152,@,,$CFG->dirroot,no-change,,Only a value in the exception's error-data array; left as-is (see splitting-potential-issues.md re message wording)
public/admin/tool/behat/cli/run.php,281,@/,cli_execute_parallel,"__DIR__ . ""/../../../../../""",deferred,,Test layer: encodes tests-run-in-mono-checkout; deferred as own category (2026-06-12)
public/admin/tool/behat/cli/util_single_run.php,254,@/,cli_execute_parallel,"__DIR__ . ""/../../../../""",deferred,,Test layer: encodes tests-run-in-mono-checkout; deferred as own category (2026-06-12)
public/admin/tool/behat/cli/util_single_run.php,303,@/,realpath,__DIR__.'/../../../../',deferred,,Test layer: encodes tests-run-in-mono-checkout; deferred as own category (2026-06-12)
public/admin/tool/behat/tests/manager_util_test.php,455,@,,$CFG->dirroot,deferred,,Test layer: encodes tests-run-in-mono-checkout; deferred as own category (2026-06-12)
public/admin/tool/behat/tests/manager_util_test.php,456,@,,$CFG->dirroot,deferred,,Test layer: encodes tests-run-in-mono-checkout; deferred as own category (2026-06-12)
public/admin/tool/behat/tests/manager_util_test.php,468,@,,$CFG->dirroot,deferred,,Test layer: encodes tests-run-in-mono-checkout; deferred as own category (2026-06-12)
public/admin/tool/brickfield/classes/accessibility.php,91,@,,$CFG->dirroot,patched,admin-tool-brickfield-classes-accessibility.patch,"get_file_path() built tool_brickfield's own dir via dirroot+admin+pluginpath; replaced with component_path('tool_brickfield', $path)"
public/admin/tool/componentlibrary/docspage.php,57,@,,$CFG->dirroot,patched,admin-tool-componentlibrary-docspage.patch,"implode built tool_componentlibrary's own docs path via dirroot+$docsdir; replaced with component_path('tool_componentlibrary', ""docs/$docs/$folder/$section/index.html"")"
public/admin/tool/generator/classes/site_backend.php,107,@,chdir,$CFG->dirroot,patched,admin-tool-generator-classes-site_backend.patch,"chdir(dirroot) existed only so the relative command 'php admin/tool/generator/cli/maketestcourse.php' resolved; made the script path absolute via component_path('tool_generator','cli/maketestcourse.php') and removed the chdir dance (subprocess bootstraps via __DIR__, cwd-independent)"
public/admin/tool/mobile/classes/api.php,153,@,str_replace,$CFG->dirroot,deferred,,"Builds a download URL for a plugin's mobile add-on .zip (wwwroot + path stripped of dirroot). The zip is a STATIC file served directly by the web server, not via PHP, so it can't be remapped when the plugin is relocated. Genuine splitting blocker; needs proper thought, not a mechanical to_mono_path swap. Deferred."
public/admin/tool/xmldb/actions/XMLDBCheckAction.class.php,141,@/,str_replace,$CFG->dirroot . '/',deferred,,"XMLDB tool: entry-point redesign, not per-row patch (see docs/dirroot-wrangling-strategy.md)"
public/admin/tool/xmldb/actions/create_xml_file/create_xml_file.class.php,74,@/,str_replace,$CFG->dirroot . '/',deferred,,"XMLDB tool: entry-point redesign, not per-row patch (see docs/dirroot-wrangling-strategy.md)"
public/admin/tool/xmldb/actions/delete_field/delete_field.class.php,81,@,str_replace,$CFG->dirroot,deferred,,"XMLDB tool: entry-point redesign, not per-row patch (see docs/dirroot-wrangling-strategy.md)"
public/admin/tool/xmldb/actions/delete_field/delete_field.class.php,85,@,str_replace,$CFG->dirroot,deferred,,"XMLDB tool: entry-point redesign, not per-row patch (see docs/dirroot-wrangling-strategy.md)"
public/admin/tool/xmldb/actions/delete_index/delete_index.class.php,81,@,str_replace,$CFG->dirroot,deferred,,"XMLDB tool: entry-point redesign, not per-row patch (see docs/dirroot-wrangling-strategy.md)"
public/admin/tool/xmldb/actions/delete_index/delete_index.class.php,85,@,str_replace,$CFG->dirroot,deferred,,"XMLDB tool: entry-point redesign, not per-row patch (see docs/dirroot-wrangling-strategy.md)"
public/admin/tool/xmldb/actions/delete_key/delete_key.class.php,81,@,str_replace,$CFG->dirroot,deferred,,"XMLDB tool: entry-point redesign, not per-row patch (see docs/dirroot-wrangling-strategy.md)"
public/admin/tool/xmldb/actions/delete_key/delete_key.class.php,85,@,str_replace,$CFG->dirroot,deferred,,"XMLDB tool: entry-point redesign, not per-row patch (see docs/dirroot-wrangling-strategy.md)"
public/admin/tool/xmldb/actions/delete_table/delete_table.class.php,80,@,str_replace,$CFG->dirroot,deferred,,"XMLDB tool: entry-point redesign, not per-row patch (see docs/dirroot-wrangling-strategy.md)"
public/admin/tool/xmldb/actions/delete_table/delete_table.class.php,84,@,str_replace,$CFG->dirroot,deferred,,"XMLDB tool: entry-point redesign, not per-row patch (see docs/dirroot-wrangling-strategy.md)"
public/admin/tool/xmldb/actions/delete_xml_file/delete_xml_file.class.php,79,@,str_replace,$CFG->dirroot,deferred,,"XMLDB tool: entry-point redesign, not per-row patch (see docs/dirroot-wrangling-strategy.md)"
public/admin/tool/xmldb/actions/edit_field/edit_field.class.php,111,@,str_replace,$CFG->dirroot,deferred,,"XMLDB tool: entry-point redesign, not per-row patch (see docs/dirroot-wrangling-strategy.md)"
public/admin/tool/xmldb/actions/edit_field/edit_field.class.php,180,@,str_replace,$CFG->dirroot,deferred,,"XMLDB tool: entry-point redesign, not per-row patch (see docs/dirroot-wrangling-strategy.md)"
public/admin/tool/xmldb/actions/edit_field/edit_field.class.php,186,@,str_replace,$CFG->dirroot,deferred,,"XMLDB tool: entry-point redesign, not per-row patch (see docs/dirroot-wrangling-strategy.md)"
public/admin/tool/xmldb/actions/edit_field/edit_field.class.php,191,@,str_replace,$CFG->dirroot,deferred,,"XMLDB tool: entry-point redesign, not per-row patch (see docs/dirroot-wrangling-strategy.md)"
public/admin/tool/xmldb/actions/edit_field_save/edit_field_save.class.php,219,@,str_replace,$CFG->dirroot,deferred,,"XMLDB tool: entry-point redesign, not per-row patch (see docs/dirroot-wrangling-strategy.md)"
public/admin/tool/xmldb/actions/edit_index/edit_index.class.php,103,@,str_replace,$CFG->dirroot,deferred,,"XMLDB tool: entry-point redesign, not per-row patch (see docs/dirroot-wrangling-strategy.md)"
public/admin/tool/xmldb/actions/edit_index/edit_index.class.php,142,@,str_replace,$CFG->dirroot,deferred,,"XMLDB tool: entry-point redesign, not per-row patch (see docs/dirroot-wrangling-strategy.md)"
